Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,LCSC,Custom column 1,Manufacturer Part Number 1

"1","10u","400V10uF CD110","C1, C4","","Not managed","","2","C2960249","",""
"2","0.1n","USR1H0R1MDD","C2, C5","","Not managed","","2","C5112145","",""
"3","100n","CK45-B3DD102KYNNA","C3, C6","","Not managed","","2","C97722","",""
"4","47n","KP473J2J0702","C7, C9","","Not managed","","2","C390077","",""
"5","10p","CC45SL3FD100JYNNA","C8, C10","","Not managed","","2","C694205","",""
"6","1u","PE105J2A0502","C11","","Not managed","","1","C390070","",""
"7","1u","CC1206KKX7R7BB105","C12","","Not managed","","1","C106236","",""
"8","0.1u","MPP104J2G10NN22640","C13","","Not managed","","1","C506840","",""
"9","0.01u","KP103J2G0501","C14","","Not managed","","1","C3019055","",""
"10","0.01u","CK45-B3DD102KYNNA","C15","","Not managed","","1","C97722","",""
"11","1N4148TR","DIODE GEN PURP 100V 200MA DO35","D1, D2","CMP-07163-000030-1","New From Design","Up to date","2","C84410","","1N4148TR"
"12","Sine Wave","KK 254 Breakaway Header, Vertical, 2 Circuits, 0.38µm Gold (Au) Selective Plating, Mating Pin Length 7.49mm","J1","","Not managed","","1","C6025575","",""
"13","Series Res","KK 254 Breakaway Header, Vertical, 2 Circuits, 0.38µm Gold (Au) Selective Plating, Mating Pin Length 7.49mm","J2","","Not managed","","1","C6025575","",""
"25","C2937625","","J3, J16","","Not managed","","2","C2937625","",""
"14","Shunt Res","KK 254 Breakaway Header, Vertical, 2 Circuits, 0.38µm Gold (Au) Selective Plating, Mating Pin Length 7.49mm","J4","","Not managed","","1","C6025575","",""
"15","Shunt Cap","","J5","","Not managed","","1","C6956150","",""
"16","Series Cap","","J6","","Not managed","","1","C6956150","",""
"17","Offset","KK 254 Breakaway Header, Vertical, 2 Circuits, 0.38µm Gold (Au) Selective Plating, Mating Pin Length 7.49mm","J7","","Not managed","","1","C6025575","",""
"18","Final Output","KK 254 Breakaway Header, Vertical, 2 Circuits, 0.38µm Gold (Au) Selective Plating, Mating Pin Length 7.49mm","J8","","Not managed","","1","C6025575","",""
"19","Wave Selecter","","J9","","Not managed","","1","C6956150","",""
"20","Wave Connector","KK 254 Breakaway Header, Vertical, 2 Circuits, 0.38µm Gold (Au) Selective Plating, Mating Pin Length 7.49mm","J10","","Not managed","","1","C6025575","",""
"21","Square Wave","KK 254 Breakaway Header, Vertical, 2 Circuits, 0.38µm Gold (Au) Selective Plating, Mating Pin Length 7.49mm","J11","","Not managed","","1","C6025575","",""
"22","Power In","","J12","","Not managed","","1","C6956150","",""
"23","5 Headers","","J13, J14","","Not managed","","2","C6956150","",""
"24","Triangular Wave","KK 254 Breakaway Header, Vertical, 2 Circuits, 0.38µm Gold (Au) Selective Plating, Mating Pin Length 7.49mm","J15","","Not managed","","1","C6025575","",""
"26","2 Headers","KK 254 Breakaway Header, Vertical, 2 Circuits, 0.38µm Gold (Au) Selective Plating, Mating Pin Length 7.49mm","J17, J18, J19, J20","","Not managed","","4","C6025575","",""
"27","Saw Tooth Wave","KK 254 Breakaway Header, Vertical, 2 Circuits, 0.38µm Gold (Au) Selective Plating, Mating Pin Length 7.49mm","J21","","Not managed","","1","C6025575","",""
"29","BC557A","BC557ATA","Q1","","Not managed","","1","C900807","",""
"","P2N2222AG","","Q2","","Not managed","","1","C3019055","",""
"","2N3904BU","","Q3","","Not managed","","1","C3019055","",""
"31","100k","","R1","","Not managed","","1","C1365491","",""
"32","47k","","R2, R3, R6","","Not managed","","3","C1365518","",""
"33","1k","ROX1SJ1K0","R4, R5","","Not managed","","2","C1368147","",""
"34","10k","","R7, R8, R9, R10","","Not managed","","4","C1368139","",""
"","TL072CP","TL072CP","U1, U2, U3, U4","","Not managed","","4","C7236","",""
